contig,position,read_count
Vibrio,7100,3
Vibrio,7134,7
Vibrio,7146,1
Vibrio,7178,2
Vibrio,7188,0
Vibrio,7217,6
Vibrio,7277,0
Vibrio,7304,3
Vibrio,7313,2
Vibrio,7361,5
Vibrio,7378,9
Vibrio,7384,5
Vibrio,7405,2
Vibrio,7420,1
Vibrio,7435,0
Vibrio,7457,8
Vibrio,7466,9
Vibrio,7470,0
Vibrio,7480,6
Vibrio,7508,6
Vibrio,7537,12
Vibrio,7570,21
Vibrio,7629,3
Vibrio,7653,3
Vibrio,7703,22
Vibrio,7707,0
Vibrio,7716,0
Vibrio,7754,3
Vibrio,7770,19
Vibrio,7788,5
Vibrio,7806,0
Vibrio,7823,0
Vibrio,7855,0
Vibrio,7864,0
Vibrio,7880,0
Vibrio,7893,6
Vibrio,7897,0
Vibrio,7929,4
Vibrio,7936,0
Vibrio,7942,13
Vibrio,7965,5
Vibrio,7991,0
Vibrio,8003,0
Vibrio,8084,3
Vibrio,8090,0
Vibrio,8134,0
Vibrio,8137,3
Vibrio,8198,8
Vibrio,8235,1
Vibrio,8256,10
Vibrio,8268,4
Vibrio,8281,6
Vibrio,8300,4
Vibrio,8332,2
Vibrio,8335,3
Vibrio,8351,5
Vibrio,8358,6
Vibrio,8365,10
Vibrio,8401,22
Vibrio,8427,1
Vibrio,8434,6
Vibrio,8456,0
Vibrio,8463,5
Vibrio,8500,1
Vibrio,8522,13
Vibrio,8557,1
Vibrio,8567,1
Vibrio,8585,4
Vibrio,8589,11
Vibrio,8609,8
Vibrio,8620,0
Vibrio,8629,0
Vibrio,8641,0
Vibrio,8644,0
Vibrio,8653,0
Vibrio,8665,0
Vibrio,8678,0
Vibrio,8725,0
Vibrio,8743,0
Vibrio,8747,0
Vibrio,8851,4
Vibrio,8878,0
Vibrio,8887,0
Vibrio,8904,0
Vibrio,8918,0
Vibrio,8940,9
Vibrio,8944,0
Vibrio,8951,0
Vibrio,8964,0
Vibrio,8980,2
Vibrio,8988,3
Vibrio,9028,1
Vibrio,9038,11
Vibrio,9051,0
Vibrio,9063,0
Vibrio,9121,0
Vibrio,9123,3
Vibrio,9140,4
Vibrio,9142,4
Vibrio,9146,0
Vibrio,9152,0
Vibrio,9166,0
Vibrio,9172,7
Vibrio,9206,1
Vibrio,9242,0
Vibrio,9256,3
Vibrio,9272,0
Vibrio,9282,15
Vibrio,9333,0
Vibrio,9404,0
Vibrio,9475,7
Vibrio,9484,0
Vibrio,9521,0
Vibrio,9548,13
Vibrio,9568,0
Vibrio,9595,0
Vibrio,9667,5
Vibrio,9674,23
Vibrio,9683,0
Vibrio,9702,25
Vibrio,9720,0
Vibrio,9748,4
Vibrio,9764,0
Vibrio,9767,10
Vibrio,9793,0
Vibrio,9901,0
Vibrio,9916,2
Vibrio,9932,9
Vibrio,9970,0
Vibrio,10005,0
Vibrio,10022,0
Vibrio,10048,5
Vibrio,10078,0
Vibrio,10087,10
Vibrio,10090,0
Vibrio,10104,0
Vibrio,10108,0
Vibrio,10117,0
Vibrio,10159,1
Vibrio,10217,3
Vibrio,10221,0
Vibrio,10256,5
Vibrio,10309,5
Vibrio,10345,16
Vibrio,10369,0
Vibrio,10423,3
Vibrio,10495,13
Vibrio,10498,0
Vibrio,10533,0
Vibrio,10542,4
Vibrio,10573,3
Vibrio,10576,0
Vibrio,10609,0
Vibrio,10620,0
Vibrio,10663,8
Vibrio,10718,0
Vibrio,10721,9
Vibrio,10782,0
Vibrio,10798,3
Vibrio,10876,2
Vibrio,10960,4
Vibrio,11073,6
Vibrio,11085,0
Vibrio,11128,0
Vibrio,11138,0
Vibrio,11153,13
Vibrio,11163,1
Vibrio,11201,0
Vibrio,11230,16
Vibrio,11242,1
Vibrio,11253,0
Vibrio,11268,0
Vibrio,11280,7
Vibrio,11297,2
Vibrio,11300,4
Vibrio,11363,7
Vibrio,11385,3
Vibrio,11394,5
Vibrio,11399,6
Vibrio,11405,3
Vibrio,11412,8
Vibrio,11415,12
Vibrio,11420,0
Vibrio,11433,2
Vibrio,11460,0
Vibrio,11506,0
Vibrio,11511,2
Vibrio,11556,2
Vibrio,11588,3
Vibrio,11590,11
Vibrio,11609,4
Vibrio,11664,4
Vibrio,11668,9
Vibrio,11697,0
Vibrio,11707,5
Vibrio,11734,6
Vibrio,11745,0
Vibrio,11757,0
Vibrio,11778,12
Vibrio,11808,0
Vibrio,11823,0
Vibrio,11847,4
Vibrio,11864,9
Vibrio,11885,6
Vibrio,11893,14
Vibrio,11900,0
Vibrio,11910,10
Vibrio,11942,9
Vibrio,12006,0
Vibrio,12037,4
Vibrio,12049,2
Vibrio,12066,21
Vibrio,12107,2
Vibrio,12111,0
Vibrio,12138,3
Vibrio,12147,2
Vibrio,12157,2
Vibrio,12174,4
Vibrio,12194,0
Vibrio,12214,11
Vibrio,12260,0
Vibrio,12319,4
Vibrio,12325,2
Vibrio,12353,11
Vibrio,12373,5
Vibrio,12380,14
Vibrio,12405,1
Vibrio,12473,3
Vibrio,12481,3
Vibrio,12500,3
Vibrio,12510,4
Vibrio,12514,3
Vibrio,12521,2
Vibrio,12539,0
Vibrio,12546,0
Vibrio,12574,11
Vibrio,12592,2
Vibrio,12595,2
Vibrio,12604,1
Vibrio,12606,0
Vibrio,12619,0
Vibrio,12687,3
Vibrio,12714,5
Vibrio,12719,3
Vibrio,12731,1
Vibrio,12771,7
Vibrio,12788,1
Vibrio,12801,0
Vibrio,12813,3
Vibrio,12822,0
Vibrio,12830,0
Vibrio,12838,2
Vibrio,12878,2
Vibrio,12908,4
Vibrio,12936,1
Vibrio,12939,3
Vibrio,12950,0
Vibrio,12967,0
Vibrio,12982,0
Vibrio,12992,0
Vibrio,13028,0
Vibrio,13057,0
Vibrio,13108,0
Vibrio,13174,0
Vibrio,13177,1
Vibrio,13249,12
Vibrio,13253,0
Vibrio,13277,0
Vibrio,13291,0
Vibrio,13298,0
Vibrio,13313,4
Vibrio,13330,0
Vibrio,13351,3
Vibrio,13374,4
Vibrio,13407,4
Vibrio,13422,5
Vibrio,13477,3
Vibrio,13482,4
Vibrio,13525,6
Vibrio,13577,4
Vibrio,13580,5
Vibrio,13615,2
Vibrio,13662,3
Vibrio,13675,6
Vibrio,13685,7
Vibrio,13692,2
Vibrio,13711,3
Vibrio,13715,0
Vibrio,13729,2
Vibrio,13823,12
Vibrio,13910,6
Vibrio,13925,4
Vibrio,13978,3
Vibrio,13988,2
Vibrio,14009,0
Vibrio,14059,0
Vibrio,14081,4
Vibrio,14095,3
Vibrio,14174,2
Vibrio,14208,32
Vibrio,14215,5
Vibrio,14335,12
Vibrio,14365,0
Vibrio,14369,0
Vibrio,14406,14
Vibrio,14422,1
Vibrio,14425,4
Vibrio,14465,14
Vibrio,14470,2
Vibrio,14479,0
Vibrio,14483,3
Vibrio,14506,25
Vibrio,14512,5
Vibrio,14521,7
Vibrio,14537,1
Vibrio,14556,4
Vibrio,14604,9
Vibrio,14622,14
Vibrio,14642,0
Vibrio,14737,10
Vibrio,14764,11
Vibrio,14779,3
Vibrio,14833,6
Vibrio,14848,2
Vibrio,14861,2
Vibrio,14920,12
Vibrio,14932,4
Vibrio,14975,6
Vibrio,14995,5
Vibrio,15006,6
Vibrio,15019,4
Vibrio,15029,3
Vibrio,15076,3
Vibrio,15124,0
Vibrio,15129,7
Vibrio,15139,0
Vibrio,15172,4
Vibrio,15192,12
Vibrio,15212,8
Vibrio,15220,7
Vibrio,15234,7
Vibrio,15242,5
Vibrio,15301,1
Vibrio,15306,3
Vibrio,15312,2
Vibrio,15322,2
Vibrio,15326,0
Vibrio,15395,2
Vibrio,15411,1
Vibrio,15413,4
Vibrio,15428,7
Vibrio,15449,0
Vibrio,15468,0
Vibrio,15483,0
Vibrio,15540,0
Vibrio,15574,0
Vibrio,15578,0
Vibrio,15609,0
Vibrio,15642,11
Vibrio,15685,0
Vibrio,15696,0
Vibrio,15700,0
Vibrio,15706,0
Vibrio,15724,0
Vibrio,15731,0
Vibrio,15795,0
Vibrio,15858,0
Vibrio,15904,0
Vibrio,15914,0
Vibrio,15917,0
Vibrio,15951,9
Vibrio,16048,0
Vibrio,16080,0
Vibrio,16106,0
Vibrio,16140,0
Vibrio,16148,0
Vibrio,16164,0
Vibrio,16172,0
Vibrio,16185,0
Vibrio,16227,0
Vibrio,16247,0
Vibrio,16295,0
Vibrio,16304,0
Vibrio,16366,0
Vibrio,16371,0
Vibrio,16376,2
Vibrio,16391,0
Vibrio,16403,0
Vibrio,16478,0
Vibrio,16481,0
Vibrio,16546,0
Vibrio,16587,0
Vibrio,16600,0
Vibrio,16653,0
Vibrio,16677,0
Vibrio,16681,0
Vibrio,16739,5
Vibrio,16741,2
Vibrio,16756,0
Vibrio,16776,0
Vibrio,16821,0
Vibrio,16834,7
Vibrio,16873,0
Vibrio,16881,5
Vibrio,16894,3
Vibrio,16915,19
Vibrio,16926,6
Vibrio,16957,0
Vibrio,17027,0
Vibrio,17086,35
Vibrio,17128,2
Vibrio,17179,0
Vibrio,17239,4
Vibrio,17297,6
Vibrio,17306,0
Vibrio,17320,5
Vibrio,17338,13
Vibrio,17349,0
Vibrio,17362,12
Vibrio,17389,0
Vibrio,17419,0
Vibrio,17423,1
Vibrio,17453,0
Vibrio,17475,0
Vibrio,17539,30
Vibrio,17542,0
Vibrio,17593,0
Vibrio,17608,5
Vibrio,17630,0
Vibrio,17635,2
Vibrio,17670,0
Vibrio,17744,0
Vibrio,17752,0
Vibrio,17761,10
Vibrio,17765,2
Vibrio,17785,1
Vibrio,17805,4
Vibrio,17814,0
Vibrio,17827,2
Vibrio,17845,0
Vibrio,17889,4
Vibrio,17915,7
Vibrio,17947,24
Vibrio,17973,7
Vibrio,18104,0
Vibrio,18133,0
Vibrio,18158,0
Vibrio,18169,3
Vibrio,18204,0
Vibrio,18211,7
Vibrio,18217,0
Vibrio,18256,0
Vibrio,18268,0
Vibrio,18283,0
Vibrio,18298,2
Vibrio,18361,2
Vibrio,18400,0
Vibrio,18407,0
Vibrio,18409,12
Vibrio,18427,0
Vibrio,18444,0
Vibrio,18498,0
Vibrio,18535,0
Vibrio,18574,0
Vibrio,18578,2
Vibrio,18614,0
Vibrio,18625,5
Vibrio,18635,0
Vibrio,18659,0
Vibrio,18691,0
Vibrio,18697,1
Vibrio,18742,0
Vibrio,18773,24
Vibrio,18778,0
Vibrio,18801,0
Vibrio,18836,1
Vibrio,18893,6
Vibrio,18910,0
Vibrio,18950,4
Vibrio,18961,0
Vibrio,18970,0
Vibrio,18986,0
Vibrio,18997,8
Vibrio,19024,0
Vibrio,19036,3
Vibrio,19055,0
Vibrio,19074,11
Vibrio,19113,4
Vibrio,19117,4
Vibrio,19141,8
Vibrio,19173,3
Vibrio,19181,7
Vibrio,19209,10
Vibrio,19214,22
Vibrio,19222,5
Vibrio,19228,9
Vibrio,19302,7
Vibrio,19317,0
Vibrio,19353,7
Vibrio,19412,0
Vibrio,19444,10
Vibrio,19463,5
Vibrio,19477,4
Vibrio,19532,6
Vibrio,19534,0
Vibrio,19540,3
Vibrio,19580,0
Vibrio,19606,0
Vibrio,19639,0
Vibrio,19646,9
Vibrio,19654,3
Vibrio,19660,2
Vibrio,19662,0
Vibrio,19678,1
Vibrio,19687,0
Vibrio,19696,9
Vibrio,19711,4
Vibrio,19720,13
Vibrio,19729,3
Vibrio,19738,6
Vibrio,19747,5
Vibrio,19761,5
Vibrio,19770,4
Vibrio,19779,8
Vibrio,19788,4
Vibrio,19814,4
Vibrio,19822,0
Vibrio,19824,0
Vibrio,19888,14
Vibrio,19896,3
Vibrio,19927,2
Vibrio,19977,4
Vibrio,19982,0
Vibrio,19990,0
Vibrio,19995,0
Vibrio,20008,0
Vibrio,20014,0
Vibrio,20018,4
Vibrio,20044,6
Vibrio,20050,0
Vibrio,20067,0
Vibrio,20083,26
Vibrio,20092,3
Vibrio,20118,0
Vibrio,20142,0
Vibrio,20149,6
Vibrio,20167,2
Vibrio,20204,0
Vibrio,20213,0
Vibrio,20232,9
Vibrio,20255,0
Vibrio,20285,0
Vibrio,20292,5
Vibrio,20299,0
Vibrio,20323,0
Vibrio,20347,3
Vibrio,20462,0
Vibrio,20481,0
Vibrio,20512,10
Vibrio,20566,0
Vibrio,20582,0
Vibrio,20594,0
Vibrio,20596,0
Vibrio,20648,0
Vibrio,20671,0
Vibrio,20676,0
Vibrio,20701,0
Vibrio,20704,0
Vibrio,20729,0
Vibrio,20734,1
Vibrio,20743,0
Vibrio,20758,0
Vibrio,20776,0
Vibrio,20806,0
Vibrio,20808,5
Vibrio,20835,0
Vibrio,20841,0
Vibrio,20851,0
Vibrio,20887,13
Vibrio,20889,0
Vibrio,20950,1
Vibrio,20962,0
Vibrio,20983,0
Vibrio,20991,7
Vibrio,20995,0
Vibrio,20999,3
Vibrio,21024,0
Vibrio,21043,0
Vibrio,21091,0
Vibrio,21096,0
Vibrio,21109,0
Vibrio,21127,0
Vibrio,21132,0
Vibrio,21146,0
Vibrio,21165,3
Vibrio,21170,0
Vibrio,21175,0
Vibrio,21198,0
Vibrio,21244,0
Vibrio,21285,0
Vibrio,21302,11
Vibrio,21306,0
Vibrio,21320,0
Vibrio,21351,2
Vibrio,21381,16
Vibrio,21391,4
Vibrio,21411,2
Vibrio,21440,7
Vibrio,21445,2
Vibrio,21461,4
Vibrio,21463,5
Vibrio,21485,3
Vibrio,21527,3
Vibrio,21576,7
Vibrio,21613,3
Vibrio,21686,0
Vibrio,21701,3
Vibrio,21716,0
Vibrio,21721,5
Vibrio,21724,0
Vibrio,21790,0
Vibrio,21816,0
Vibrio,21834,0
Vibrio,21858,0
Vibrio,21885,0
Vibrio,22010,18
Vibrio,22023,0
Vibrio,22033,0
Vibrio,22041,0
Vibrio,22089,6
Vibrio,22103,0
Vibrio,22128,0
Vibrio,22132,0
Vibrio,22186,1
Vibrio,22218,0
Vibrio,22227,0
Vibrio,22274,0
Vibrio,22308,3
Vibrio,22358,6
Vibrio,22370,2
Vibrio,22389,2
Vibrio,22415,5
Vibrio,22491,2
Vibrio,22524,8
Vibrio,22565,0
Vibrio,22611,5
Vibrio,22677,23
Vibrio,22685,2
Vibrio,22737,4
Vibrio,22794,5
Vibrio,22806,5
Vibrio,22835,3
Vibrio,22842,11
Vibrio,22851,0
Vibrio,22855,2
Vibrio,22875,1
Vibrio,22877,8
Vibrio,22900,0
Vibrio,22936,3
Vibrio,22957,0
Vibrio,23017,0
Vibrio,23035,0
Vibrio,23057,0
Vibrio,23061,0
Vibrio,23079,0
Vibrio,23082,8
Vibrio,23136,11
Vibrio,23157,2
Vibrio,23209,0
Vibrio,23220,14
Vibrio,23224,5
Vibrio,23234,4
Vibrio,23266,7
Vibrio,23296,2
Vibrio,23317,8
Vibrio,23330,32
Vibrio,23348,4
Vibrio,23382,1
Vibrio,23431,4
Vibrio,23437,4
Vibrio,23443,5
Vibrio,23452,8
Vibrio,23456,2
Vibrio,23494,1
Vibrio,23506,6
Vibrio,23509,5
Vibrio,23514,7
Vibrio,23520,2
Vibrio,23534,3
Vibrio,23540,3
Vibrio,23567,8
Vibrio,23614,6
Vibrio,23622,1
Vibrio,23643,3
Vibrio,23693,4
Vibrio,23815,8
Vibrio,23935,5
Vibrio,23979,14
Vibrio,24014,4
Vibrio,24019,5
Vibrio,24024,6
Vibrio,24045,4
Vibrio,24056,4
Vibrio,24064,9
Vibrio,24083,3
Vibrio,24091,2
Vibrio,24095,6
Vibrio,24101,10
Vibrio,24155,0
Vibrio,24186,0
Vibrio,24270,0
Vibrio,24317,0
Vibrio,24371,0
Vibrio,24380,0
Vibrio,24437,0
Vibrio,24444,0
Vibrio,24453,0
Vibrio,24504,4
Vibrio,24509,0
Vibrio,24590,0
Vibrio,24605,0
Vibrio,24644,0
Vibrio,24651,0
Vibrio,24681,0
Vibrio,24764,0
Vibrio,24831,0
Vibrio,24838,0
Vibrio,24846,0
Vibrio,24857,0
Vibrio,24895,0
Vibrio,24919,0
Vibrio,24947,0
Vibrio,24987,0
Vibrio,24993,0
Vibrio,24999,0
Vibrio,25018,11
Vibrio,25078,0
Vibrio,25088,0
Vibrio,25160,0
Vibrio,25195,0
Vibrio,25313,0
Vibrio,25452,0
Vibrio,25457,0
Vibrio,25547,0
Vibrio,25569,0
Vibrio,25620,0
Vibrio,25622,0
Vibrio,25654,0
Vibrio,25661,0
Vibrio,25679,1
Vibrio,25721,0
Vibrio,25745,0
Vibrio,25778,0
Vibrio,25849,11
Vibrio,25891,0
Vibrio,25896,0
Vibrio,25902,0
Vibrio,25913,0
Vibrio,25950,0
Vibrio,26002,0
Vibrio,26027,0
Vibrio,26048,0
Vibrio,26099,0
Vibrio,26119,0
Vibrio,26124,0
Vibrio,26163,0
Vibrio,26202,0
Vibrio,26206,0
Vibrio,26282,0
Vibrio,26294,0
Vibrio,26322,0
Vibrio,26329,0
Vibrio,26338,0
Vibrio,26342,0
Vibrio,26344,0
Vibrio,26360,0
Vibrio,26380,0
Vibrio,26400,0
Vibrio,26419,0
Vibrio,26433,0
Vibrio,26438,0
Vibrio,26447,9
Vibrio,26495,0
Vibrio,26549,0
Vibrio,26583,6
Vibrio,26596,3
Vibrio,26656,2
Vibrio,26703,0
Vibrio,26712,0
Vibrio,26753,0
Vibrio,26774,0
Vibrio,26821,6
Vibrio,26826,10
Vibrio,26868,8
Vibrio,26876,3
Vibrio,26924,0
Vibrio,26929,0
Vibrio,26956,0
Vibrio,26989,9
Vibrio,27003,0
Vibrio,27020,0
Vibrio,27075,1
Vibrio,27088,0
Vibrio,27099,6
Vibrio,27250,0
Vibrio,27252,8
Vibrio,27312,0
Vibrio,27407,11
Vibrio,27535,10
Vibrio,27553,0
Vibrio,27559,1
Vibrio,27642,18
Vibrio,27647,5
Vibrio,27683,5
Vibrio,27716,0
Vibrio,27740,3
Vibrio,27775,0
Vibrio,27798,0
Vibrio,27806,0
Vibrio,27828,0
Vibrio,27891,0
Vibrio,27903,5
Vibrio,27921,0
Vibrio,27936,0
Vibrio,27946,0
Vibrio,27948,2
Vibrio,27982,7
Vibrio,28000,0
Vibrio,28015,0
Vibrio,28024,0
Vibrio,28046,0
Vibrio,28051,0
Vibrio,28064,3
Vibrio,28077,0
Vibrio,28093,12
Vibrio,28116,0
Vibrio,28145,5
Vibrio,28176,11
Vibrio,28222,7
Vibrio,28233,0
Vibrio,28246,0
Vibrio,28260,31
Vibrio,28275,0
Vibrio,28279,0
Vibrio,28325,5
Vibrio,28351,1
Vibrio,28392,0
Vibrio,28397,1
Vibrio,28443,7
Vibrio,28462,12
Vibrio,28497,8
Vibrio,28508,2
Vibrio,28515,4
Vibrio,28521,0
Vibrio,28581,1
Vibrio,28606,16
Vibrio,28629,0
Vibrio,28634,2
Vibrio,28640,16
Vibrio,28666,1
Vibrio,28680,9
Vibrio,28692,0
Vibrio,28697,0
Vibrio,28711,0
Vibrio,28730,0
Vibrio,28762,0
Vibrio,28795,0
Vibrio,28848,12
Vibrio,28860,0
Vibrio,28886,5
Vibrio,28906,4
Vibrio,28935,0
Vibrio,29019,0
Vibrio,29025,2
Vibrio,29035,0
Vibrio,29083,0
Vibrio,29090,0
Vibrio,29103,0
Vibrio,29177,0
Vibrio,29182,3
Vibrio,29194,21
Vibrio,29207,5
Vibrio,29241,0
Vibrio,29247,0
Vibrio,29254,3
Vibrio,29302,13
Vibrio,29369,4
Vibrio,29392,3
Vibrio,29413,1
Vibrio,29431,9
Vibrio,29458,8
Vibrio,29461,2
Vibrio,29504,1
Vibrio,29558,2
Vibrio,29690,1
Vibrio,29722,3
Vibrio,29744,3
Vibrio,29791,3
Vibrio,29806,2
Vibrio,29819,5
Vibrio,29875,6
Vibrio,29879,1
Vibrio,29940,0
Vibrio,29955,3
Vibrio,30045,5
Vibrio,30059,7
Vibrio,30090,4
Vibrio,30098,5
Vibrio,30101,14
Vibrio,30113,1
Vibrio,30120,0
Vibrio,30144,8
Vibrio,30164,0
Vibrio,30235,0
Vibrio,30241,12
Vibrio,30255,0
Vibrio,30300,0
Vibrio,30315,0
Vibrio,30326,0
Vibrio,30336,8
Vibrio,30350,0
Vibrio,30431,0
Vibrio,30435,0
Vibrio,30478,0
Vibrio,30524,0
Vibrio,30557,0
Vibrio,30574,0
Vibrio,30576,0
Vibrio,30610,4
Vibrio,30612,12
Vibrio,30618,1
Vibrio,30621,13
Vibrio,30623,6
Vibrio,30650,0
Vibrio,30660,0
Vibrio,30666,0
Vibrio,30675,0
Vibrio,30697,7
Vibrio,30700,1
Vibrio,30739,0
Vibrio,30762,0
Vibrio,30779,0
Vibrio,30783,0
Vibrio,30816,3
Vibrio,30829,0
Vibrio,30863,4
Vibrio,30866,0
Vibrio,30885,0
Vibrio,30918,4
Vibrio,30964,0
Vibrio,30966,6
Vibrio,31004,0
Vibrio,31028,0
Vibrio,31077,0
Vibrio,31167,7
Vibrio,31192,0
Vibrio,31196,0
Vibrio,31206,1
Vibrio,31251,4
Vibrio,31264,2
Vibrio,31300,0
Vibrio,31332,5
Vibrio,31347,1
Vibrio,31355,0
Vibrio,31400,2
Vibrio,31406,3
Vibrio,31445,12
Vibrio,31487,9
Vibrio,31491,0
Vibrio,31501,0
Vibrio,31525,0
Vibrio,31558,2
Vibrio,31567,1
Vibrio,31607,4
Vibrio,31726,0
Vibrio,31750,0
Vibrio,31768,0
Vibrio,31775,4
Vibrio,31806,0
Vibrio,31861,0
Vibrio,31902,0
Vibrio,31927,0
Vibrio,31936,0
Vibrio,31966,0
Vibrio,32011,9
Vibrio,32067,1
